,artists,name,popularity,duration_ms,album.name,album.release_date,term
107,ODESZA,Say My Name (feat. Zyra),66,262956,In Return,2014-09-08,Long Term
108,Local Natives,Dark Days,63,180413,Sunlit Youth,2016-09-09,Long Term
109,Glass Animals,Black Mambo,61,248920,ZABA,2014-06-03,Long Term
110,Tycho,Awake,60,283636,Awake,2014-03-18,Long Term
111,Ratatat,Loud Pipes,58,226533,Classics,2006-08-22,Long Term
112,Jordan Mackampa,Yours to Keep,58,202426,Physics EP,2016-09-30,Long Term
113,Duke Dumont,I Got U,58,285596,EP1,2014-01-01,Long Term
114,ODESZA,All We Need (feat. Shy Girls),56,211200,In Return,2014-09-08,Long Term
115,Tycho,A Walk,56,316919,Dive,2011-10-04,Long Term
116,Chet Faker,No Diggity,56,221533,Thinking In Textures,2012-03-01,Long Term
117,Local Natives,Wide Eyes,55,266053,Gorilla Manor,2010-02-16,Long Term
118,Chet Faker,No Diggity,55,225000,Digging the Blogosphere,2012-03-09,Long Term
119,Sons Of The East,Come Away,54,260693,Sons Of The East,2013-08-02,Long Term
120,Nosaj Thing,Aquarium,53,184000,Views/Octopus EP,2006-01-01,Long Term
121,Klingande,Jubel,52,283638,Jubel,2014-03-11,Long Term
122,ODESZA,My Friends Never Die,52,171500,My Friends Never Die,2013-09-17,Long Term
123,Jai Paul,BTSTU - Edit,51,210000,BTSTU (Edit),2011-04-21,Long Term
124,Galantis,Firebird,50,248280,Pharmacy,2015-06-05,Long Term
125,Tycho,Daydream,48,334459,Dive,2011-10-04,Long Term
126,Sons Of The East,California,46,222186,Sons Of The East,2013-08-02,Long Term
127,Ratatat,Lex,45,269746,Classics,2006-08-22,Long Term
128,Sons Of The East,Into The Sun - Radio Edit,44,273306,Into The Sun,2015-10-09,Long Term
129,Seinabo Sey,Younger - Kygo Remix,43,351573,Younger,2014-01-01,Long Term
130,Sons Of The East,Hold On,42,230616,Hold On,2013-03-01,Long Term
131,Møme,Mirage,41,182453,Panorama,2016-11-25,Long Term
132,Porter Robinson,Divinity - filous Remix,41,247200,Divinity (filous Remix),2014-12-19,Long Term
133,Tourist,Placid Acid,39,285744,Tourist,2012-03-12,Long Term
134,O R I O N,Rain,37,180714,Rain,2017-10-16,Long Term
135,Thrupence,Thought 8,36,204000,Thoughts,2012-11-15,Long Term
136,Thrupence,Folds,35,194443,Voyages,2012-03-05,Long Term
137,Moullinex,Dream On,30,218918,Dream On,2018-05-25,Long Term
138,Robotaki,Restless,30,232978,Science,2018-04-13,Long Term
139,filous,Let It Snow,28,207125,Let It Snow,2016-12-09,Long Term
140,Tycho,Hours - Teen Daze Remix,22,332000,Dive (Radio Edit),2011-11-01,Long Term
141,Tycho,See - Beacon Remix,15,234296,See Remix,2014-09-16,Long Term
142,Audio Adam,Don't Ya Mama Know,7,178951,Don't Ya Mama Know,2016-10-14,Long Term
143,Leo Stannard,Please Don't,0,203405,Notions EP,2014-10-13,Long Term
144,Washed Out,Feel It All Around,0,192080,Life Of Leisure,2009-09-08,Long Term
145,Caribou,Crayon,0,160306,Up In Flames (Special Edition),2003-09-29,Long Term
146,Haring,Canopée,0,275887,Nowadays,2014-09-15,Long Term
147,Sam Feldt,Hot Skin - Radio Edit,0,209385,Hot Skin,2014-10-27,Long Term
148,Summer Heart,Thinkin of U,0,195541,Thinkin of U - EP,2015-04-06,Long Term
149,Sizzle Bird,Stepping Stones,0,206811,Vol. 1,2014-09-11,Long Term
